Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
4076,F,,Montana,30.0,,2010.0,65-74 years,65-74,0.0,err_222,1506.88,1387.3,1626.46,61.01,Montana_65-74 years,,1.4668172155175396,-0.5117572199242747,39,,1.1723924169249622,1067,0.0562009912311451,3,async,610.0
4077,F,F,Montana,30.0,2010.0,2010.0,75-84 years,75-84,0.0,err_118,,3859.08,4359.55,127.67,Montana_75-84 years,1970-01-01 00:00:00.000002010,-1.5786490699834497,0.1852283081610355,-31,,1.129686350114535,8346,-0.138305955411138,4,pending,1036.0
4078,F,F,Montana,30.0,,2010.0,85+ years,85+,0.0,13005.0,,13133.81,14409.44,325.41,Montana_85+ years,,0.665153616220186,0.6755971581079109,0,,1.097125662698029,8397,0.1379545970097345,3,sync,1791.0
4079,F,F,Montana,30.0,,2011.0,< 1 year,1,0.0,5829.0,,319.19,,90.78,Montana_< 1 year,,0.0839397767851178,-0.2339797220164689,5,,,8609,-0.0145242124005547,4,pending,28.0
4080,F,F,Montana,30.0,,2011.0,,15-24,0.0,65112.0,47.61,32.35,,8.55,Montana_15-24 years,,1.066943037418702,-0.2272888813605557,30,,,7128,0.0319080937271341,2,async,31.0
4081,F,F,Montana,30.0,2011.0,2011.0,25-34 years,25-34,0.0,60639.0,,47.13,89.82,10.43,Montana_25-34 years,1970-01-01 00:00:00.000002011,-0.0818989903337434,0.2015612871649644,-30,60972.514500000005,1.9057924888605984,3048,-0.0349821633024752,3,sync,40.0
4082,F,F,Montana,30.0,,2011.0,35-44 years,35-44,0.0,55183.0,163.09,131.15,200.47,17.19,Montana_35-44 years,,-0.0929474159653004,-0.238224988790494,18,,1.52855508959207,6378,0.0319770493052139,3,async,
4083,F,F,Montana,30.0,,2011.0,45-54 years,45-54,0.0,,,311.21,,21.97,Montana_45-54 years,,1.18888763281235,-0.345223287950781,12,,,7121,-0.0289990800680043,1,sync,
4084,,F,Montana,30.0,2011.0,,55-64 years,55-64,0.0,72147.0,597.39,540.99,653.79,28.78,Montana_55-64 years,1970-01-01 00:00:00.000002011,0.6053710488724664,0.4388228449986311,0,72543.8085,1.2085066267398656,6582,-0.1452602653854142,1,sync,
4085,F,F,Montana,30.0,2011.0,2011.0,65-74 years,65-74,0.0,42091.0,1468.25,1352.49,1584.01,59.06,Montana_65-74 years,1970-01-01 00:00:00.000002011,-1.9804486739105185,0.5493420189067239,-15,42322.5005,1.1711805632573993,3042,-0.0469893254507758,3,sync,618.0
4086,F,F,,30.0,,2011.0,75-84 years,75-84,0.0,25362.0,4069.08,3820.82,4317.34,126.66,Montana_75-84 years,,-0.1134151565620841,-0.3115112207312073,-49,,1.1299511623159426,5533,0.0684409580411042,1,pending,
4087,F,F,Montana,30.0,,,85+ years,85+,0.0,13334.0,13979.3,13344.67,,323.79,Montana_85+ years,,1.745988176659952,-0.1891788488698895,39,,,6585,-0.0263741830525131,3,sync,1864.0
4088,F,F,Montana,30.0,2012.0,2012.0,< 1 year,,0.0,5804.0,568.57,391.38,798.49,98.98,Montana_< 1 year,1970-01-01 00:00:00.000002012,0.7356030613503464,0.2695075781805242,-2,5838.824,2.0401911186059585,9472,-0.0877016440136201,2,async,33.0
4089,F,F,Montana,30.0,2012.0,,15-24 years,15-24,0.0,64976.0,52.33,36.24,73.12,8.97,Montana_15-24 years,1970-01-01 00:00:00.000002012,-0.2784538527731346,-0.3771097005430928,9,65365.856,2.0176600441501105,7122,-0.1663666889637507,1,sync,34.0
4090,F,F,Montana,30.0,2012.0,2012.0,,25-34,0.0,61332.0,94.57,71.81,122.25,12.42,Montana_25-34 years,NULL_TIMESTAMP,1.439839709568008,-0.677598645873848,36,61699.992,1.7024091352179362,6845,0.1363928779878487,1,async,58.0
4091,F,F,,30.0,2012.0,2012.0,35-44 years,35-44,0.0,55576.0,,117.35,,16.29,Montana_35-44 years,NULL_TIMESTAMP,1.5045385054166285,0.2082601608596829,-9,55909.456,,9735,0.1051170760577972,2,async,82.0
4092,F,F,Montana,-62.432810591536054,,1986.1243260702704,45-54 years,45-54,-0.0797377299645494,2621947.4615373546,,-23723.790020844343,,508.3031980392563,Montana_45-54 years,,-1.7283076235404249,0.2383411773113556,42,,,1567,0.1058963379581726,3,async,31061.990927079107
4093,F,F,Montana,30.0,2012.0,2012.0,55-64 years,55-64,0.0,73547.0,590.1,534.58,,28.33,Montana_55-64 years,NULL_TIMESTAMP,1.1072223808504484,-0.709640106331654,-13,73988.282,,3317,0.1469908289844393,3,pending,434.0
4094,F,F,Montana,-62.432810591536054,2037.8756739297296,1986.1243260702704,65-74 years,65-74,0.0797377299645494,2595727.4615373546,-23383.294180793597,-22742.450020844342,26969.654394780453,542.4931980392563,Montana_65-74 years,1970-01-01 00:00:00.000002037,-0.7781012583423236,-0.3497301476066388,0,2644884.925009171,-1.1858728663825449,1883,-0.1458880878492278,3,sync,
4095,F,F,Montana,30.0,2012.0,2012.0,75-84 years,75-84,0.0,25638.0,3912.16,3670.05,,123.53,Montana_75-84 years,1970-01-01 00:00:00.000002012,1.5694257511855303,0.4914231296084824,-38,25791.828,,4865,0.0484563565785476,2,pending,1003.0
4096,F,F,Montana,30.0,2012.0,,85+ years,85+,0.0,,13586.55,12964.9,14208.21,317.17,Montana_85+ years,1970-01-01 00:00:00.000002012,-1.5391537876708357,-0.5293534972599397,43,,1.0958981557898633,9143,-0.0146755191275265,4,pending,
4097,F,F,Montana,30.0,,2013.0,< 1 year,,0.0,5929.0,,259.36,,82.63,Montana_< 1 year,,-1.1420627118868123,-0.0680663944656133,44,,,5728,0.1795194705162263,1,async,
4098,F,F,Montana,30.0,,,15-24 years,15-24,0.0,,71.47,52.51,,10.42,Montana_15-24 years,,-0.7258408065724812,1.3964926434127714,-10,,,3636,0.1341176215237019,4,pending,47.0
4099,F,F,,30.0,,,25-34 years,25-34,0.0,61990.0,93.56,71.05,,12.29,Montana_25-34 years,NULL_TIMESTAMP,-1.5876072832676065,-0.395363520907243,40,,,2371,0.0003512505262864,3,pending,58.0
4100,F,F,Montana,30.0,,2013.0,35-44 years,35-44,0.0,56401.0,171.98,139.47,209.81,17.46,Montana_35-44 years,,1.5287324153731945,0.5746674110377912,-11,,1.504337850433785,5306,-0.0284048919185469,3,sync,
4101,F,,Montana,30.0,2013.0,2013.0,45-54 years,,0.0,,310.09,268.25,351.93,21.35,Montana_45-54 years,1970-01-01 00:00:00.000002013,1.3636786405445542,0.2627346545596945,8,,1.3119478098788444,1977,-0.0063095014253259,1,sync,211.0
4102,F,F,Montana,-62.432810591536054,1987.1243260702704,,,55-64,-0.0797377299645494,,-24141.124180793595,-23447.620020844348,-24844.064394780453,-459.0531980392563,Montana_55-64 years,1970-01-01 00:00:00.000001987,-0.9309996358018876,0.8339641174072843,39,,1.0595559111199644,7620,-0.0775392249164478,1,sync,31293.990927079107
4103,F,F,Montana,30.0,2013.0,2013.0,65-74 years,,0.0,47072.0,,1385.1,1606.06,56.37,Montana_65-74 years,1970-01-01 00:00:00.000002013,0.944134255994685,-0.1975272773979145,-35,47377.968,1.159526387986427,6486,0.016411764028511,3,pending,704.0
4104,,F,Montana,-62.432810591536054,,2038.8756739297296,75-84 years,75-84,-0.0797377299645494,2577057.4615373546,-20464.874180793595,28021.410020844345,,615.5231980392564,Montana_75-84 years,,-1.0336121976579842,0.1855207568556142,31,,,4822,0.0709826174697702,1,async,
4105,F,F,Montana,30.0,2013.0,2013.0,85+ years,85+,0.0,err_950,13753.37,13132.65,14374.09,316.69,Montana_85+ years,1970-01-01 00:00:00.000002013,-0.8126011527308094,-0.1308105897650644,-24,,1.0945308068059378,4684,0.0593770909522403,1,pending,1886.0
4106,,F,Montana,30.0,,,< 1 year,1,0.0,5997.0,450.23,296.7,655.06,86.65,Montana_< 1 year,,-2.8109445332320067,-0.2494250438145767,-17,,2.207819346140883,3645,-0.0702800348633053,2,pending,
4107,F,F,Montana,30.0,,2014.0,,15-24,0.0,66127.0,43.86,29.37,62.98,8.14,Montana_15-24 years,,-0.6195499618935815,0.0790368067030573,-17,,2.1443649982975823,1636,-0.039265513091782,1,async,29.0
4108,F,F,,30.0,2014.0,2014.0,25-34 years,25-34,0.0,62928.0,79.46,58.97,,11.24,Montana_25-34 years,1970-01-01 00:00:00.000002014,1.4137536536570223,0.04983425544918,-42,63368.49599999999,,9782,-0.1212947332044356,3,async,50.0
4109,F,F,Montana,30.0,,2014.0,35-44 years,35-44,0.0,56606.0,146.63,116.79,181.77,16.09,Montana_35-44 years,,0.8786280123716401,0.2587374104754038,-38,,1.5563832519907526,8856,-0.0785722470940646,2,async,83.0
4110,F,F,Montana,30.0,2014.0,,,45-54,0.0,66009.0,356.01,310.49,,23.22,Montana_45-54 years,1970-01-01 00:00:00.000002014,-0.2086884929184743,-0.7583969581739807,-28,66471.063,,2954,0.1398432234057831,4,pending,
4111,F,F,Montana,30.0,,2014.0,,55-64,0.0,,611.34,555.83,,28.32,Montana_55-64 years,,1.343264858548468,0.1657659769444617,-16,,,2910,-0.1809850762590477,3,pending,466.0
4112,F,F,Montana,30.0,2014.0,2014.0,,65-74,0.0,49495.0,,1288.11,,53.03,Montana_65-74 years,1970-01-01 00:00:00.000002014,-1.2963203464864976,-0.0857021725631421,-15,49841.465,,2109,0.1309410525592305,3,pending,
4113,F,F,Montana,30.0,2014.0,2014.0,75-84 years,75-84,0.0,err_678,4247.03,3998.63,,126.73,Montana_75-84 years,1970-01-01 00:00:00.000002014,0.565926702395605,0.0989164188732454,-17,,,4223,-0.1858256974838861,3,pending,
4114,F,,Montana,30.0,2014.0,2014.0,85+ years,85+,0.0,err_453,13123.02,12520.44,13725.6,307.44,Montana_85+ years,1970-01-01 00:00:00.000002014,-0.4179604017606701,0.3669238901526397,-6,,1.096255403164745,6239,-0.0221697710823456,2,pending,1822.0
4115,F,F,,30.0,2015.0,,< 1 year,1,0.0,6154.0,,289.13,638.34,84.44,Montana_< 1 year,1970-01-01 00:00:00.000002015,1.0894711237063994,-0.3683407120966391,-28,6200.155000000001,2.207795801196694,5197,0.0471740103736212,2,pending,
4116,,F,Montana,30.0,,,15-24 years,15-24,0.0,65784.0,65.37,47.3,88.05,9.97,Montana_15-24 years,,-1.072127688960987,0.216000273176904,20,,1.8615221987315012,3808,0.0135859185789059,3,async,
4117,F,F,Montana,30.0,,2015.0,25-34 years,25-34,0.0,err_181,,92.3,,13.55,Montana_25-34 years,,-0.0411491751964238,0.4177287105396313,-39,,,5092,-0.0326326266368242,4,sync,75.0
4118,,F,Montana,30.0,2015.0,,35-44 years,35-44,0.0,57222.0,,135.89,,17.12,Montana_35-44 years,1970-01-01 00:00:00.000002015,-3.252040766506824,0.1549684064758032,-1,57651.165,,1561,0.0115331800240432,4,async,96.0
4119,F,F,Montana,-62.432810591536054,1989.1243260702704,,45-54 years,45-54,0.0797377299645494,2615177.4615373546,-24339.544180793597,24348.820020844345,-25048.764394780457,512.4231980392564,Montana_45-54 years,1970-01-01 00:00:00.000001989,-1.3797285658976035,-0.7317042370703211,-49,2600956.552867326,-1.0287465418585748,8194,-0.0465150379617365,1,pending,
4120,F,F,Montana,30.0,2015.0,2015.0,55-64 years,55-64,0.0,,,584.88,698.02,28.86,Montana_55-64 years,1970-01-01 00:00:00.000002015,-1.965318410093736,-0.951190070921036,-40,,1.1934413896867733,2068,-0.0625548548754072,2,pending,494.0
4121,F,,Montana,30.0,2015.0,2015.0,65-74 years,65-74,0.0,52161.0,1389.93,1288.75,,51.62,Montana_65-74 years,1970-01-01 00:00:00.000002015,-1.4362747596213616,0.6036889492146177,-12,52552.2075,,1943,-0.1038450058850281,3,pending,
4122,F,F,Montana,30.0,2015.0,,75-84 years,75-84,0.0,26797.0,3895.96,3659.63,4132.29,120.58,Montana_75-84 years,NULL_TIMESTAMP,-0.5269103200410346,0.1959930384229264,-4,26997.9775,1.1291551331692,9551,-0.0232106698645451,4,sync,1044.0
4123,F,F,Montana,30.0,2015.0,2015.0,85+ years,85+,0.0,14080.0,,12929.2,,310.07,Montana_85+ years,1970-01-01 00:00:00.000002015,-1.318882251817138,-0.4830753636192514,14,14185.6,,6825,0.0123438355798537,4,sync,1906.0
4124,F,F,Montana,30.0,2016.0,,< 1 year,1,0.0,6098.0,606.76,427.21,836.33,99.75,Montana_< 1 year,1970-01-01 00:00:00.000002016,-0.7926089398991466,-0.2888657035613257,-18,6146.784,1.957655485592566,5122,-0.0844845198363405,3,pending,
4125,F,F,Montana,30.0,2016.0,2016.0,15-24 years,15-24,0.0,64878.0,,38.86,,9.25,Montana_15-24 years,1970-01-01 00:00:00.000002016,0.285896362556046,-0.0979097463229669,33,65397.024,,1256,-0.0613187804083645,1,async,
4126,F,F,Montana,30.0,2016.0,2016.0,25-34 years,25-34,0.0,64964.0,83.12,62.44,,11.31,Montana_25-34 years,1970-01-01 00:00:00.000002016,-0.2306957556809752,0.7271936022988063,35,65483.712,,1586,-0.0811998106802542,4,pending,
4127,F,F,Montana,30.0,2016.0,,35-44 years,35-44,0.0,58136.0,194.37,158.53,,18.28,Montana_35-44 years,NULL_TIMESTAMP,1.4586199326723943,0.3486548494458283,-28,58601.088,,8961,0.057376267977416,4,async,
4128,F,F,Montana,122.43281059153604,2041.8756739297296,,,45-54,0.0797377299645494,2613876.4615373546,25093.234180793595,24298.040020844343,,-463.7431980392563,Montana_45-54 years,1970-01-01 00:00:00.000002041,0.3207651363129766,-0.0487063066354821,-16,2668605.3807353214,,2808,-0.1039166241657798,3,async,31060.990927079107
4129,F,F,Montana,30.0,2016.0,,55-64 years,55-64,0.0,77815.0,657.97,600.98,,29.08,Montana_55-64 years,1970-01-01 00:00:00.000002016,-0.5472995707328672,0.3148490789468332,-24,78437.52,,3845,-0.1344828113722418,2,pending,512.0
4130,F,F,Montana,30.0,2016.0,2016.0,,65-74,0.0,54711.0,1347.08,1249.82,1444.33,49.62,Montana_65-74 years,NULL_TIMESTAMP,0.3109798221084723,0.9924902435214396,-4,55148.688,1.1556304107791522,7925,0.0382967697581362,4,sync,737.0
4131,F,F,Montana,30.0,2016.0,,75-84 years,75-84,0.0,27490.0,3965.08,3729.68,,120.1,Montana_75-84 years,1970-01-01 00:00:00.000002016,0.7987673566925788,-0.5318272993537463,-40,27709.92,,1132,-0.1526644006854228,3,sync,1090.0
4132,F,F,Montana,30.0,2016.0,2016.0,,85+,0.0,,,12965.23,,308.57,Montana_85+ years,NULL_TIMESTAMP,-0.3943467413968632,0.688381093682793,-43,,,5329,0.0295884178539552,3,sync,
4133,F,F,Montana,30.0,,2017.0,< 1 year,1,0.0,err_920,458.42,304.61,,86.63,Montana_< 1 year,,1.0288472019739932,-0.7222261636636154,-48,,,3803,0.1835843151448815,2,async,
4134,F,F,Montana,30.0,,,15-24 years,15-24,0.0,64730.0,52.53,36.38,73.4,9.01,Montana_15-24 years,,-1.9286989655828637,-0.0645377002121889,-6,,2.017592083562397,3230,0.0351791523712219,2,pending,
4135,F,F,Montana,30.0,2017.0,2017.0,25-34 years,25-34,0.0,65563.0,112.87,88.63,141.7,13.12,Montana_25-34 years,NULL_TIMESTAMP,-1.138534835210599,-0.3687014060989506,18,66120.2855,1.5987814509759677,4724,0.064939357623981,3,async,
4136,F,F,Montana,30.0,2017.0,,35-44 years,35-44,0.0,err_449,152.18,122.53,186.85,15.95,Montana_35-44 years,1970-01-01 00:00:00.000002017,2.637938802226327,0.3646214162939273,-8,,1.5249326695503145,7658,-0.1196884248037651,4,pending,
4137,F,F,,30.0,,,45-54 years,45-54,0.0,61385.0,338.84,292.8,,23.49,Montana_45-54 years,,-1.0842312646884136,0.785816477877515,8,,,4427,0.0633688415591193,1,sync,208.0
4138,F,F,Montana,30.0,2017.0,,55-64 years,55-64,0.0,77891.0,663.75,606.53,,29.19,Montana_55-64 years,1970-01-01 00:00:00.000002017,-1.4834381916185202,0.4522876288155499,-28,78553.0735,,6236,-0.1027550426873525,2,pending,517.0
4139,F,F,Montana,30.0,,2017.0,65-74 years,65-74,0.0,57198.0,,1256.17,,48.61,Montana_65-74 years,,0.921253050176402,-0.9370150151772444,42,,,6083,0.0503925078969215,4,pending,
4140,,F,,30.0,2017.0,,75-84 years,75-84,0.0,27949.0,,4036.7,4521.75,123.74,Montana_75-84 years,1970-01-01 00:00:00.000002017,1.0811199177047794,0.4556123101707114,25,28186.566499999997,1.1201600317090694,7529,0.0166691313188766,3,pending,
4141,,F,Montana,30.0,2017.0,2017.0,85+ years,85+,0.0,,,13493.18,14740.26,318.13,Montana_85+ years,1970-01-01 00:00:00.000002017,-0.0919598793709911,0.2486779737731422,-16,,1.0924229870201094,2898,-0.1303940516583092,4,pending,
4142,F,F,Montana,30.0,2018.0,2018.0,< 1 year,,0.0,5898.0,,315.46,686.13,89.72,Montana_< 1 year,1970-01-01 00:00:00.000002018,-0.8190068417486708,0.2814257888902552,-39,5951.081999999999,2.175014264883028,8092,0.1800496475121558,2,pending,
4143,F,F,Montana,30.0,,,15-24 years,15-24,0.0,65074.0,,43.91,83.7,9.72,Montana_15-24 years,,-0.2242987544527208,-0.776901542029688,-39,,1.906171714871328,1705,0.1416464285549763,1,pending,40.0
4144,F,F,,-62.432810591536054,,2043.8756739297296,25-34 years,25-34,-0.0797377299645494,-2484363.4615373546,,24070.870020844348,-25375.654394780453,499.5331980392563,Montana_25-34 years,NULL_TIMESTAMP,0.500921620786378,-0.0443922314178995,-28,,-1.054205949880757,8176,0.0497727571309501,4,sync,
4145,F,F,Montana,30.0,,2018.0,35-44 years,35-44,0.0,61599.0,,127.7,192.1,15.99,Montana_35-44 years,,-0.6000341323656468,-0.4122591006223639,26,,1.5043069694596711,9756,0.0205153491517167,2,async,97.0
4146,F,F,Montana,30.0,,2018.0,,45-54,0.0,59882.0,307.27,262.87,,22.65,Montana_45-54 years,,0.649454188965606,0.5690652755354486,-32,,,6378,-0.1133470095956615,4,async,
4147,F,F,Montana,122.43281059153604,1992.1243260702704,,55-64 years,55-64,-0.0797377299645494,-2473332.4615373546,,24537.210020844344,,515.0731980392563,Montana_55-64 years,1970-01-01 00:00:00.000001992,-0.4255740648561768,-0.6282715953258597,22,-2463592.881543913,,5692,0.0802291795856108,1,async,-30376.990927079107
4148,F,F,Montana,30.0,2018.0,2018.0,65-74 years,65-74,0.0,59819.0,,1173.72,1353.9,45.96,Montana_65-74 years,1970-01-01 00:00:00.000002018,-0.1642808473393376,-0.2597063456486863,-15,60357.37099999999,1.1535119108475616,3932,-0.1003520470846224,4,sync,756.0
4149,,F,Montana,122.43281059153604,,2043.8756739297296,75-84 years,,-0.0797377299645494,-2521461.4615373546,-20889.794180793597,-20364.640020844345,,-373.1631980392563,Montana_75-84 years,,0.2319645241019961,-0.7626081009723334,10,,,8246,0.0522144003711329,3,sync,-29701.990927079107
4150,F,F,Montana,30.0,,,,85+,0.0,,13411.24,12805.32,14017.17,309.14,Montana_85+ years,,-3.0981052117911276,0.7099408740612878,11,,1.0946364479763098,7129,0.0185169717525711,3,pending,1882.0
4151,F,F,Montana,30.0,,,,1,0.0,,,214.85,543.24,78.65,Montana_< 1 year,,0.0738415193445849,-0.6014978032298557,10,,2.52846171747731,2626,0.0793963122038723,4,sync,20.0
4152,F,F,Montana,30.0,2019.0,2019.0,15-24 years,,0.0,64756.0,,49.37,91.22,10.24,Montana_15-24 years,1970-01-01 00:00:00.000002019,-0.2652783275541013,-0.9804599766972298,-33,65371.182,1.8476807778002835,7198,0.0244172321348148,1,async,
4153,F,F,Montana,30.0,,2019.0,25-34 years,,0.0,67129.0,,73.42,,11.92,Montana_25-34 years,,0.0764562357010403,0.5225613405063604,30,,,7572,-0.0837475810064131,1,sync,64.0
4154,,F,,30.0,,2019.0,35-44 years,35-44,0.0,63306.0,165.86,134.14,197.59,16.19,Montana_35-44 years,,-2.5135238272403777,0.305175545762223,8,,1.473013269718205,9468,0.1549132689739475,2,async,
4155,F,F,Montana,30.0,,2019.0,45-54 years,45-54,0.0,58447.0,,278.86,371.31,23.58,Montana_45-54 years,,-0.809612305357648,-0.3889205161698337,-2,,1.3315283654880583,1071,0.0980740222159361,2,pending,190.0
4156,F,F,Montana,122.43281059153604,1993.1243260702704,1993.1243260702704,55-64 years,55-64,0.0797377299645494,,-24097.724180793597,-23405.530020844348,,516.3031980392564,Montana_55-64 years,NULL_TIMESTAMP,0.7874079827976485,-0.340572630923041,13,,,7369,0.0370359170817453,3,pending,31337.990927079107
4157,F,F,Montana,30.0,,,65-74 years,65-74,0.0,,1308.27,1218.73,,45.69,Montana_65-74 years,NULL_TIMESTAMP,-1.085054938265593,0.5189576912676017,-31,,,6940,-0.0699325617113999,2,sync,
4158,F,F,Montana,30.0,2019.0,2019.0,75-84 years,75-84,0.0,,3933.68,3712.03,,113.09,Montana_75-84 years,1970-01-01 00:00:00.000002019,-0.0515063419520743,-1.1719192622765344,36,,,8654,-0.150613626563607,3,pending,1210.0
4159,F,F,Montana,30.0,2019.0,2019.0,85+ years,85+,0.0,13990.0,13359.54,12753.86,13965.22,309.02,Montana_85+ years,1970-01-01 00:00:00.000002019,-2.0545750801090676,-0.6467281951988689,19,14122.905,1.0949798727600897,2367,0.0975995414653121,1,sync,1869.0
4160,F,F,Montana,30.0,,2020.0,< 1 year,1,0.0,5549.0,,306.07,,91.89,Montana_< 1 year,NULL_TIMESTAMP,-0.4984986299565437,0.2136022844053209,-11,,,4122,0.3100056895158085,3,async,26.0
4161,F,F,,30.0,,2020.0,15-24 years,15-24,0.0,65260.0,64.36,46.38,86.99,9.93,Montana_15-24 years,NULL_TIMESTAMP,-0.4768689853926752,-0.3113368563190871,-29,,1.8755929279862007,2295,-0.1196388412496284,1,pending,42.0
4162,F,F,Montana,122.43281059153604,2045.8756739297296,2045.8756739297296,25-34 years,25-34,0.0797377299645494,-2482948.4615373546,24866.634180793597,-23895.860020844342,25654.404394780453,-473.88319803925634,Montana_25-34 years,1970-01-01 00:00:00.000002045,-0.8456582109259064,0.2304595133897115,-17,-2539901.92854026,-1.0735920101809322,4954,0.0997508391857801,4,pending,
4163,F,F,Montana,30.0,2020.0,,,,0.0,,174.31,142.31,,16.33,Montana_35-44 years,1970-01-01 00:00:00.000002020,0.14389056889204,0.6031145733460936,-2,,,6098,0.09179479190195,2,async,114.0
4164,F,F,Montana,30.0,2020.0,2020.0,45-54 years,45-54,0.0,57973.0,374.31,324.51,424.12,25.41,Montana_45-54 years,1970-01-01 00:00:00.000002020,-0.203856653710177,0.5257360876729358,12,58552.73,1.306955101537703,7747,0.213493735014864,4,sync,217.0
4165,F,F,,122.43281059153604,,,55-64 years,,-0.0797377299645494,-2475165.4615373546,,24666.350020844347,,518.4331980392564,Montana_55-64 years,,-0.2277524240217348,0.2831505265331061,-50,,,2276,0.0630580838679888,2,sync,
4166,F,F,Montana,30.0,,2020.0,65-74 years,65-74,0.0,65615.0,1466.13,1373.48,1558.78,47.27,Montana_65-74 years,,-1.7689078671169964,-0.3814119475031393,-10,,1.1349127763054432,1670,-0.0926741690101153,4,async,962.0
4167,F,F,Montana,30.0,2020.0,2020.0,75-84 years,,0.0,31580.0,4094.36,3871.19,,113.86,Montana_75-84 years,1970-01-01 00:00:00.000002020,0.1177520899308017,0.6316172048195081,-2,31895.8,,5479,-0.077763565915565,3,sync,1293.0
4168,F,F,Montana,30.0,2020.0,2020.0,85+ years,,0.01,13984.0,,14311.89,,327.0,Montana_85+ years,1970-01-01 00:00:00.000002020,0.8614754558328335,-0.3481131382645023,-40,14123.84,,2878,-0.0850101479761556,3,pending,2091.0
4169,F,F,Nebraska,31.0,2006.0,2006.0,< 1 year,1,0.0,12501.0,,394.27,,63.99,Nebraska_< 1 year,1970-01-01 00:00:00.000002006,-1.1423040398792368,0.1976301145351859,10,12538.503,,7740,-0.1389060965807332,4,sync,64.0
